"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"Function_82092B40","82092b40","Instruction Label","Global","Analysis","1","0"
"Function_82092C20","82092c20","Function","Global","Analysis","1","0"
"Function_82093028","82093028","Instruction Label","Global","Analysis","1","0"
"Function_820930F8","820930f8","Function","Global","Analysis","2","0"
"Function_82093190","82093190","Instruction Label","Global","Analysis","1","0"
"Function_82093228","82093228","Function","Global","Analysis","1","0"
"Function_82093258","82093258","Function","Global","Analysis","1","0"
"Function_82093478","82093478","Function","Global","Analysis","0","0"
"Function_820960F8","820960f8","Function","Global","Analysis","0","0"
"FUN_82096160","82096160","Function","Global","Default","2","0"
"FUN_82096170","82096170","Function","Global","Default","1","0"
"Function_82096180","82096180","Function","Global","Analysis","6","0"
"Function_82096350","82096350","Function","Global","Analysis","3","0"
"Function_820964B8","820964b8","Function","Global","Analysis","2","0"
"Function_82096748","82096748","Function","Global","Analysis","2","0"
"Function_82096748","82096958","Thunk Function","Global","Default","4","0"
"FUN_82096960","82096960","Function","Global","Default","4","0"
"FUN_82096a30","82096a30","Function","Global","Default","2","0"
"Function_82096B00","82096b00","Function","Global","Analysis","2","0"
"Function_82096BA8","82096ba8","Function","Global","Analysis","12","0"
"Function_82096DD8","82096dd8","Function","Global","Analysis","1","0"
"FUN_82096f28","82096f28","Function","Global","Default","1","0"
"FUN_82096fa0","82096fa0","Function","Global","Default","1","0"
"Function_82096FB0","82096fb0","Function","Global","Analysis","4","0"
"Function_820970E0","820970e0","Function","Global","Analysis","2","0"
